transaction_id,sender_id,receiver_id,amount,timestamp
ecd3d885-67a4-49f1-9588-810cb78d6925,ACC_00947,ACC_00169,2366.82,2024-01-27 18:12:19
98423341-9c2f-4bac-865b-80b1c7612e11,ACC_00529,ACC_00756,765.96,2024-01-25 20:13:16
91e8c670-1965-4ae8-ab22-78faf4c513a1,ACC_00183,ACC_00340,1725.76,2024-01-29 17:56:44
dff5bf8a-6ee4-46e4-84a8-12b98e94206f,ACC_00213,ACC_00218,3289.09,2024-01-24 10:56:32
582c8c84-7f71-4e5c-896e-c491a6f7e4d3,ACC_00922,ACC_00538,4465.56,2024-01-11 00:54:38
674672e9-35c9-41f8-9386-a97456ce38de,ACC_00681,ACC_00346,4632.48,2024-01-14 21:05:44
76180f82-7967-4154-8b94-ef9a3d0a57b2,ACC_00824,ACC_00743,857.21,2024-01-21 15:02:22
75eca092-2aff-47ac-8c20-fc4d2e978051,ACC_00672,ACC_00202,1698.75,2024-01-17 06:55:23
41d4a6cd-bcde-4914-8047-9ac13842433c,ACC_00600,ACC_00196,3713.93,2024-01-04 13:02:47
e75897fe-3ea3-4e68-a860-2fb80f1cc9e7,ACC_00397,ACC_00658,2382.38,2024-01-01 15:54:03
7e181663-2971-4d9f-94c6-9b500391f130,ACC_00592,ACC_00496,3893.01,2024-01-02 03:07:08
a28a4eb0-c372-466a-90a9-5b96b6644514,ACC_00681,ACC_00993,3809.25,2024-01-29 08:41:05
cb72ffc9-f09d-48bf-9d20-dcf3341d539c,ACC_00551,ACC_00201,1286.52,2024-01-27 03:34:38
fa04f5ba-a6c5-4302-8746-e357c1fc0ae7,ACC_00935,ACC_00202,31932.15,2024-01-14 10:02:09
de585f5b-2609-49b2-b038-2c5fee0feda3,ACC_00696,ACC_00565,4804.86,2024-01-29 17:05:08
8283f148-b60a-42ef-8cf9-bf1b6a0bfa68,ACC_00317,ACC_00683,2533.51,2024-01-04 12:10:25
175fa53a-e408-4d30-9a97-10d8f5e45451,ACC_00328,ACC_00536,3406.86,2024-01-11 23:11:00
47a139b5-0ee4-4452-83a7-58c589e6ef90,ACC_00517,ACC_00786,246.14,2024-01-21 03:39:38
72f9cbdb-7e65-403d-be16-9c1830de12b2,ACC_00031,ACC_00482,4318.99,2024-01-23 21:35:00
dde0a0cb-4709-46b2-83ae-c117ad256aac,ACC_00563,ACC_00132,2739.83,2024-01-20 19:56:01
9326232a-b33d-4829-92d3-e877f2116fd1,ACC_00279,ACC_00211,3119.36,2024-01-16 08:24:03
401a3f2e-186c-45cc-9670-26443b713215,ACC_00581,ACC_00238,812.63,2024-01-22 02:51:01
ff33e980-80eb-43ee-be3c-7af5adf112de,ACC_00677,ACC_00273,3028.34,2024-01-30 06:14:54
dfea3f0f-02d5-4a0b-80ea-696c3086e3ea,ACC_00281,ACC_00464,3484.24,2024-01-15 19:45:25
240f082a-43f0-4492-b7ef-c59553092b81,ACC_00659,ACC_00039,4426.74,2024-01-06 19:59:57
5dce0603-ed02-4785-af04-7ff63d3d8903,ACC_00682,ACC_00601,1710.07,2024-01-22 17:56:34
774b3d75-11ff-4edd-8c55-84687c603e41,ACC_00040,ACC_00805,3711.22,2024-01-10 18:15:25
0beeb0bd-e79a-4998-a876-8f49fd85aa24,ACC_00717,ACC_00623,765.24,2024-01-27 13:57:01
1b573a21-2893-47b5-8d2b-7cb49658a6b5,ACC_00866,ACC_00272,2113.33,2024-01-07 01:02:30
47931608-e549-4e88-afdc-a53cea38a0bd,ACC_00215,ACC_00851,1314.21,2024-01-06 01:32:13
18f0fa58-9ffa-4703-b3a9-fc5efe508f12,ACC_00228,ACC_00740,240.44,2024-01-27 15:24:16
874a7109-13b9-45c2-9d78-dc3f47f3375f,ACC_00708,ACC_00121,4274.51,2024-01-15 22:56:28
9021a90b-7393-4da7-963f-507dee076b2f,ACC_00426,ACC_00257,2594.28,2024-01-11 22:21:23
79db0bbb-3f4e-46b9-9123-7bce1169b26f,ACC_00722,ACC_00644,2320.42,2024-01-25 03:10:53
affa7077-ce6a-4bd9-bc5c-044502168842,ACC_00546,ACC_00994,3465.4,2024-01-20 03:18:55
38fcc56d-c3e7-4e48-8321-9b9a2cbda442,ACC_00265,ACC_00855,396.34,2024-01-22 02:22:20
f690b4fb-ee3a-4bfb-a36c-f9f5dd30d495,ACC_00069,ACC_00881,3348.87,2024-01-19 22:57:59
8b9ad34e-dfa0-43ab-8a93-9114327d0559,ACC_00096,ACC_00631,603.12,2024-01-20 01:23:46
204061d5-2346-44e9-a3d1-fa25bd77c462,ACC_00013,ACC_00246,2022.06,2024-01-15 17:20:23
7b74f5da-b9ec-46c1-8ff6-83f463c523a8,ACC_00803,ACC_00488,3629.23,2024-01-12 19:07:13
c4a7d744-69a3-4dcb-aba7-a93689229e5c,ACC_00622,ACC_00962,4132.55,2024-01-24 01:28:31
38119087-b06e-4d6a-99a2-c6ce03b5726e,ACC_00620,ACC_00421,3934.83,2024-01-04 08:22:35
9c5551f9-7adf-4e70-827f-8257da67c160,ACC_00957,ACC_00621,526.84,2024-01-30 12:25:53
68d3f10d-d486-4ce5-84af-15705e6ebdf7,ACC_00425,ACC_00196,3446.58,2024-01-20 21:01:50
bca7e816-b158-4324-ba30-f8f2e35f2d51,ACC_00420,ACC_00932,807.19,2024-01-08 21:04:41
32c91dd0-e3e5-4954-8018-7ca9b1a84a64,ACC_00931,ACC_00774,1980.84,2024-01-17 11:35:13
02cbfc18-6c84-4af2-8c28-7f9c57a2915d,ACC_00936,ACC_00013,786.53,2024-01-15 05:53:51
bf4adc97-4d06-4aa1-b5bb-3670a62452af,ACC_00670,ACC_00144,4938.87,2024-01-09 11:25:55
926bc0ce-212b-4b8c-8c9a-f3e2400486b8,ACC_00495,ACC_00118,2195.11,2024-01-07 17:43:57
bfaa0d01-f27a-40c9-a8ca-43196d705554,ACC_00575,ACC_00931,1265.15,2024-01-10 00:46:19
f0691214-6e0f-406d-a01a-6d41ef2f7e46,ACC_00839,ACC_00819,1020.96,2024-01-12 15:01:55
f266effc-61be-4c04-aea3-52b507d65cbd,ACC_00636,ACC_00038,1335.94,2024-01-27 16:14:22
6dc52a20-d2e8-454f-a93b-c8b37a37b84a,ACC_00119,ACC_00477,3630.88,2024-01-13 18:25:40
8a898685-0371-481d-b1e0-3649d2e29b30,ACC_00834,ACC_00531,2815.7,2024-01-24 09:02:24
51a058ef-99c4-4c68-b435-903d056f49a3,ACC_00330,ACC_00644,2656.87,2024-01-29 20:36:09
8946d1a9-37cb-4b90-9dd8-1b11c5f94ed2,ACC_00585,ACC_00963,3289.41,2024-01-06 01:17:39
580ff15e-3348-45e5-be5d-046e7e3c3953,ACC_00720,ACC_00530,1558.12,2024-01-28 18:46:51
42ca83a4-c450-486b-b0a0-c785633453e4,ACC_00510,ACC_00005,212.39,2024-01-13 14:39:02
dded87f7-11d7-4233-a2fc-f35661763b37,ACC_00300,ACC_00768,3659.92,2024-01-05 09:17:59
